"id","category","question","bot_response","rag_docs_used","my_grade","notes"
"D01","direct","Πόσες μέρες έχω για να επιστρέψω ένα προϊόν;","Γεια σας! Στη ShopEasy, σας προσφέρουμε μια ευέλικτη πολιτική επιστροφών. Έχετε 14 ημέρες από την ημερομηνία παραλαβής του προϊόντος για να το επιστρέψετε. Για να κάνετε μια επιστροφή, το προϊόν πρέπει να είναι στην αρχική του κατάσταση, με όλα τα συσκευασιακά υλικά και τις ετικέτες να είναι ακόμη προσαρτημένες. Επίσης, πρέπει να συμπληρώσετε τη διαδικασία επιστροφής μέσα στις 14 ημέρες, μέσω του λογαριασμού σας στην ιστοσελίδα μας ή μέσω τηλεφώνου με την εξυπηρέτηση πελατών μας.

Εάν έχετε οποιαδήποτε ερωτήματα ή χρειάζεστε βοήθεια με την επιστροφή, μη διστάσετε να επικοινωνήσετε μαζί μας. Είμαστε εδώ για να σας βοηθήσουμε!","","0","Λάθος: 14 ημέρες (σωστό: 30)"
"D02","direct","Πότε θα λάβω τα χρήματά μου πίσω μετά την επιστροφή;","Γεια σας! Ευχαριστώ που επικοινωνήσατε μαζί μας. Η διαδικασία επιστροφής και η χρονική διάρκεια για την επιστροφή των χρημάτων σας εξαρτάται από τον τρόπο πληρωμής που χρησιμοποιήσατε κατά την αγορά.

Για τις περισσότερες επιστροφές, η διαδικασία είναι η ακόλουθη:

1. **Επιβεβαίωση της Επιστροφής**: Όταν λαμβάνουμε το προϊόν που επιστρέφετε, θα σας στείλουμε μια επιβεβαίωση μέσω email ότι η επιστροφή έχει ληφθεί.
2. **Ελέγχος του Προϊόντος**: Το προϊόν θα ελεγχθεί για να διαπιστωθεί ότι βρίσκεται στην αρχική του κατάσταση, μαζί με όλα τα αντίστοιχα αξεσουάρ και την αρχική συσκευασία.
3. **Επιστροφή Χρημάτων**: Αν το προϊόν πληροί τις προϋποθέσεις επιστροφής, θα ξεκινήσουμε τη διαδικασία επιστροφής των χρημάτων σας.

Η χρονική διάρκεια για την επιστροφή των χρημάτων σας μπορεί να διαφέρει ανάλογα με τον τρόπο πληρωμής:
- **Πιστωτική/Χρεωστική Κάρτα**: Η επιστροφή των χρημάτων σας μπορεί να πάρει από 3 έως 5 εργάσιμες ημέρες για να εμφανιστεί στο λογαριασμό σας, μετά την επιβεβαίωση της επιστροφής.
- **Τραπεζικό Λογαριασμό**: Η επιστροφή των χρημάτων σας μπορεί να πάρει από 5 έως 7 εργάσιμες ημέρες για να εμφανιστεί στο λογαριασμό σας, μετά την επιβεβαίωση της επιστροφής.
- **Επιστροφή σε Άλλο Τρόπο Πληρωμής**: Η χρονική διάρκεια μπορεί να διαφέρει, αλλά θα σας ενημερώσουμε για τις λεπτομέρειες μέσω email.

Εάν έχουν περάσει περισσότερες από 10 εργάσιμες ημέρες και δεν έχετε λάβει τα χρήματά σας, παρακαλούμε να επικοινωνήσετε μαζί μας για να διερευνήσουμε το ζήτημα. Θα είμαστε στην διάθεσή σας για να σας βοηθήσουμε με οποιαδήποτε ερωτήματα ή ανησυχίες που μπορεί να έχετε.

Ευχαριστώ για την υπομονή σας και για την επιλογή του ShopEasy για τις αγορές σας.","","0","Λάθος αριθμοί: 3-5 κάρτα, 5-7 τράπεζα (σωστό: 5-7 γενικά, έως 10 κάρτα)"
"D03","direct","Η αποστολή είναι δωρεάν;","Γεια σας! Στη ShopEasy, προσφέρουμε δωρεάν αποστολή για όλες τις παραγγελίες άνω των 50€. Για παραγγελίες κάτω των 50€, το κόστος αποστολής είναι 5€. Επίσης, για παραγγελίες άνω των 100€, προσφέρουμε δωρεάν αποστολή και δωρεάν επιστροφή. Αν έχετε οποιαδήποτε άλλη ερώτηση, είμαι εδώ για να σας βοηθήσω!","","0","Λάθος: όριο 50€ και χρέωση 5€ (σωστό: 39€ και 3,50€)"
"D04","direct","Πόσες μέρες παίρνει η παράδοση;","Γεια σας! Ευχαριστώ που επικοινωνήσατε μαζί μας. Η διάρκεια παράδοσης εξαρτάται από την τοποθεσία σας και τον τύπο αποστολής που έχετε επιλέξει.

Για τις περισσότερες περιοχές, η παράδοση πραγματοποιείται εντός 2-5 εργασίμων ημερών. Ωστόσο, για τις πιο απομακρυσμένες περιοχές, η παράδοση μπορεί να πάρει έως 7-10 εργασίμων ημέρες.

Εάν θέλετε να μάθετε την ακριβή διάρκεια παράδοσης για την περιοχή σας, παρακαλώ δώστε μου τον κωδικό ταχυδρομείου σας ή την πόλη σας, ώστε να μπορέσω να σας δώσω πιο ακριβείς πληροφορίες.","","0","Ασαφής: 2-5 ημέρες γενικά, αναφέρει ""απομακρυσμένες περιοχές"" — δεν δίνει συγκεκριμένα στοιχεία FAQs"
"D05","direct","Πώς μπορώ να παρακολουθήσω την παραγγελία μου;","Γεια σας! Ευχαριστώ που επικοινωνήσατε μαζί μας. Για να παρακολουθήσετε την παραγγελία σας, μπορείτε να ακολουθήσετε τα παρακάτω βήματα:

1. **Συνδεθείτε στο λογαριασμό σας**: Πηγαίνετε στην ιστοσελίδα μας και συνδεθείτε στο λογαριασμό σας χρησιμοποιώντας το email και τον κωδικό σας.
2. **Πατήστε στο ""Οι Παραγγελίες Μου""**: Από την σελίδα του λογαριασμού σας, πατήστε στο ""Οι Παραγγελίες Μου"" για να δείτε όλες τις παραγγελίες σας.
3. **Επιλέξτε την παραγγελία που θέλετε να παρακολουθήσετε**: Βρείτε την παραγγελία που θέλετε να παρακολουθήσετε και πατήστε στο ""Λεπτομέρειες"" για να δείτε περισσότερες πληροφορίες.
4. **Δείτε την κατάσταση της παραγγελίας**: Στην σελίδα των λεπτομερειών της παραγγελίας, θα δείτε την τρέχουσα κατάσταση της παραγγελίας σας, όπως ""Σε Επεξεργασία"", ""Σε Αποστολή"" ή ""Παραδόθηκε"".
5. **Χρησιμοποιήστε τον κωδικό παρακολούθησης**: Αν η παραγγελία σας έχει αποσταλεί, θα λάβετε έναν κωδικό παρακολούθησης. Μπορείτε να χρησιμοποιήσετε αυτόν τον κωδικό για να παρακολουθήσετε την παραγγελία σας στην ιστοσελίδα της εταιρείας μεταφορών.

Εάν έχετε οποιαδήποτε ερωτήσεις ή χρειάζεστε βοήθεια, μη διστάσετε να επικοινωνήσετε μαζί μας. Είμαστε εδώ για να σας βοηθήσουμε!","","1",""
"D06","direct","Ποιες μεθόδους πληρωμής δέχεστε;","Γεια σας! Ευχαριστώ που επικοινωνήσατε μαζί μας. Στη ShopEasy, δέχεται μια ποικιλία μεθόδων πληρωμής για να εξυπηρετήσουμε τις ανάγκες σας. Οι διαθέσιμες μεθόδους πληρωμής είναι:

* Πιστωτικές κάρτες (Visa, Mastercard, American Express)
* Χρεωστικές κάρτες (Maestro, Visa Electron)
* PayPal
* Τραπεζική μεταφορά
* Πληρωμή με μετρητά κατά την παράδοση (για συγκεκριμένες περιοχές)

Παρακαλώ σημειώστε ότι οι διαθέσιμες μεθόδους πληρωμής μπορεί να διαφέρουν ανάλογα με τη χώρα και την περιοχή σας. Αν έχετε οποιαδήποτε ερώτηση ή χρειάζεστε περισσότερες πληροφορίες, μη διστάσετε να μας ενημερώσετε. Είμαστε εδώ για να σας βοηθήσουμε!","","0","Λάθος: αναφέρει τραπεζική μεταφορά (FAQs: ΔΕΝ γίνεται δεκτή για λιανική)"
"D07","direct","Πώς δημιουργώ λογαριασμό;","Γεια σας! Ευχαριστώ που επέλεξατε το ShopEasy. Για να δημιουργήσετε λογαριασμό, ακολουθήστε τα παρακάτω βήματα:

1. **Πηγαίνετε στην ιστοσελίδα μας**: Μεταβείτε στην ιστοσελίδα του ShopEasy ([www.shopeasy.gr](http://www.shopeasy.gr)) και κάντε κλικ στο κουμπί ""Εγγραφή"" στο πάνω δεξιά μέρος της σελίδας.
2. **Συμπληρώστε τα στοιχεία σας**: Συμπληρώστε τα απαιτούμενα πεδία με τα στοιχεία σας, όπως:
 * Όνομα και Επώνυμο
 * Διεύθυνση Email
 * Κωδικός πρόσβασης (πρέπει να είναι τουλάχιστον 8 χαρακτήρες)
 * Επιβεβαίωση κωδικού πρόσβασης
3. **Επιβεβαίωση διεύθυνσης Email**: Θα σας στείλουμε ένα email για να επιβεβαιώσετε τη διεύθυνση Email σας. Κάντε κλικ στο σύνδεσμο που θα βρείτε στο email για να επιβεβαιώσετε τη διεύθυνση σας.
4. **Ολοκλήρωση εγγραφής**: Μετά την επιβεβαίωση της διεύθυνσης Email σας, θα μεταφερθείτε στην σελίδα του λογαριασμού σας. Εκεί θα μπορέσετε να ολοκληρώσετε την εγγραφή σας, συμπληρώνοντας επιπλέον στοιχεία όπως:
 * Διεύθυνση
 * Τηλέφωνο
 * Άλλα στοιχεία που μπορεί να σας ζητηθούν
5. **Λογαριασμός σας είναι έτοιμος**: Μετά την ολοκλήρωση της εγγραφής σας, θα έχετε πρόσβαση στο λογαριασμό σας και θα μπορέσετε να ξεκινήσετε να αγοράζετε από το ShopEasy.

Εάν έχετε κάποια ερωτήσεις ή προβλήματα κατά τη διαδικασία εγγραφής, μη διστάσετε να επικοινωνήσετε μαζί μας. Είμαστε εδώ για να σας βοηθήσουμε!","","0","Ψευδές URL: www.shopeasy.gr"
"D08","direct","Ξέχασα τον κωδικό μου, τι κάνω;","Γεια σας! Δεν υπάρχει κανένα πρόβλημα. Αν ξέχασατε τον κωδικό σας, μπορείτε να τον επαναφέρετε με τα ακόλουθα βήματα:

1. **Πηγαίνετε στην σελίδα σύνδεσης**: Πηγαίνετε στην ιστοσελίδα μας και κάντε κλικ στο ""Σύνδεση"" στο πάνω δεξιά μέρος της σελίδας.
2. **Κάντε κλικ στο ""Ξέχασα τον κωδικό μου""**: Κάτω από το πεδίο εισαγωγής του κωδικού, θα δείτε το σύνδεσμο ""Ξέχασα τον κωδικό μου"". Κάντε κλικ σε αυτόν.
3. **Εισαγάγετε την διεύθυνση email σας**: Θα σας ζητηθεί να εισαγάγετε την διεύθυνση email που χρησιμοποιείτε για να συνδεθείτε στο λογαριασμό σας.
4. **Λάβετε τον κωδικό επαναφοράς**: Θα σας στείλουμε ένα email με έναν κωδικό επαναφοράς. Αυτός ο κωδικός θα σας επιτρέψει να επαναφέρετε τον κωδικό σας.
5. **Επαναφέρετε τον κωδικό σας**: Ακολουθήστε τις οδηγίες στο email για να επαναφέρετε τον κωδικό σας.

Εάν αντιμετωπίζετε οποιοδήποτε πρόβλημα κατά τη διαδικασία επαναφοράς του κωδικού σας, μη διστάσετε να επικοινωνήσετε μαζί μας. Είμαστε εδώ για να σας βοηθήσουμε.

Επίσης, για να αποφευχθεί το ξέχασμα του κωδικού σας στο μέλλον, σας συνιστούμε να:

* Χρησιμοποιείτε einen ισχυρό και μοναδικό κωδικό για το λογαριασμό σας.
* Αποθηκεύετε τον κωδικό σας σε ένα ασφαλές μέρος, όπως σε ένα manager κωδικών.
* Ελέγχετε τακτικά τον λογαριασμό σας για να διασφαλίσετε ότι όλα είναι εντάξει.

Ελπίζουμε ότι αυτό θα σας βοηθήσει! Εάν χρειάζεστε περαιτέρω βοήθεια, μη διστάσετε να μας επικοινωνήσετε.","","1",""
"D09","direct","Τι γίνεται αν παραλάβω ελαττωματικό προϊόν;","Στην ShopEasy, λαμβάνουμε πολύ σοβαρά την ποιότητα των προϊόντων μας και θέλουμε να είστε πλήρως ικανοποιημένοι με τις αγορές σας. Αν παραλάβετε ελαττωματικό προϊόν, παρακαλούμε να επικοινωνήσετε άμεσα μαζί μας για να διευθετήσουμε το ζήτημα.

**Ποια είναι τα βήματα που πρέπει να ακολουθήσετε;**

1. **Επικοινωνήστε μαζί μας**: Παρακαλούμε να επικοινωνήσετε μαζί μας μέσω της σελίδας επικοινωνίας μας ή μέσω τηλεφώνου, μέσα σε 3 ημέρες από την ημερομηνία παραλαβής του προϊόντος.
2. **Περιγράψτε το πρόβλημα**: Παρακαλούμε να περιγράψετε το πρόβλημα με το προϊόν, συμπεριλαμβανομένων των λεπτομερειών για το τι δεν λειτουργεί σωστά.
3. **Στείλτε φωτογραφίες**: Αν είναι δυνατό, παρακαλούμε να στείλετε φωτογραφίες του ελαττωματικού προϊόντος, ώστε να μπορούμε να αξιολογήσουμε το πρόβλημα.
4. **Λάβετε οδηγίες**: Θα σας δώσουμε οδηγίες για το πώς να προχωρήσετε, ανάλογα με την περίπτωση.

**Τι μπορείτε να περιμένετε;**

* **Ανταλλαγή**: Αν το προϊόν είναι ελαττωματικό, θα σας στείλουμε ένα νέο προϊόν αντικατάστασης, δωρεάν.
* **Επιστροφή χρημάτων**: Αν δεν είναι δυνατή η ανταλλαγή, θα σας επιστρέψουμε τα χρήματα που δαπανήσατε για το προϊόν.
* **Επισκευή**: Σε ορισμένες περιπτώσεις, μπορεί να είναι δυνατή η επισκευή του προϊόντος. Θα σας ενημερώσουμε για τις επιλογές σας.

Στην ShopEasy, θέλουμε να σας προσφέρουμε την καλύτερη δυνατή εμπειρία αγορών. Αν έχετε οποιαδήποτε ερώτηση ή ανησυχία, παρακαλούμε να μην διστάσετε να επικοινωνήσετε μαζί μας.","","0","Λάθος: 3 ημέρες (σωστό: 48 ώρες), ζητά επιστροφή (FAQs: δεν χρειάζεται)"
"D10","direct","Πώς λειτουργεί το πρόγραμμα πιστότητας;","Γεια σας! Ευχαριστώ που επικοινωνήσατε μαζί μας. Το πρόγραμμα πιστότητας της ShopEasy είναι ένα πρόγραμμα που ανταμείβει τους πιστούς μας πελάτες για τις αγορές τους. Εδώ είναι πώς λειτουργεί:

**Πώς να γίνετε μέλος:**
Για να γίνετε μέλος του προγράμματος πιστότητας, απλώς πρέπει να δημιουργήσετε ένα λογαριασμό στην ιστοσελίδα μας ή να κάνετε μια αγορά. Αυτόματα θα εγγραφείτε στο πρόγραμμα πιστότητας.

**Πώς να συλλέξετε πόντους:**
Για κάθε ευρώ που ξοδεύετε στις αγορές σας, θα λάβετε πόντους. Οι πόντους αυτοί θα προστεθούν στο λογαριασμό σας και θα μπορείτε να τους ανταλλάξετε με δώρα, εκπτώσεις ή άλλα προνόμια.

**Πόσοι πόντους θα λάβετε:**
Για κάθε 1 ευρώ που ξοδεύετε, θα λάβετε 1 πόντο. Όσο περισσότερα ευρώ ξοδεύετε, τόσο περισσότερους πόντους θα λάβετε.

**Πώς να ανταλλάξετε πόντους:**
Μόλις συλλέξετε αρκετούς πόντους, μπορείτε να τους ανταλλάξετε με δώρα, εκπτώσεις ή άλλα προνόμια. Μπορείτε να δείτε τις επιλογές ανταλλαγής πόντων στο λογαριασμό σας.

**Άλλα προνόμια:**
Ως μέλος του προγράμματος πιστότητας, θα έχετε πρόσβαση σε ειδικές προσφορές, εκπτώσεις και δώρα. Θα λαμβάνετε επίσης ειδοποιήσεις για νέες προϊόντα, εκπτώσεις και άλλες ειδικές προσφορές.

Ελπίζω να σας έχει βοηθήσει αυτή η εξήγηση. Αν έχετε άλλες ερωτήσεις, μην διστάσετε να μας ρωτήσετε. Είμαστε εδώ για να σας βοηθήσουμε!","","1",""
