"id","category","question","bot_response","rag_docs_used","my_grade","notes"
"D01","direct","Πόσες μέρες έχω για να επιστρέψω ένα προϊόν;","Έχεις 30 ημέρες από την παραλαβή του προϊόντος για να το επιστρέψεις, εφόσον βρίσκεται στην αρχική του κατάσταση και με την αρχική συσκευασία.","Πολιτική Επιστροφών | Χρόνος Επιστροφής Χρημάτων | Επιστροφή Ελαττωματικού Προϊόντος","1",""
"D02","direct","Πότε θα λάβω τα χρήματά μου πίσω μετά την επιστροφή;","Μετά την παραλαβή και τον έλεγχο του επιστρεφόμενου προϊόντος, η επιστροφή χρημάτων ολοκληρώνεται εντός 5–7 εργάσιμων ημερών στη μέθοδο πληρωμής που χρησιμοποιήσατε. Για πληρωμές με κάρτα, ο χρόνος μπορεί να φτάνει τις 10 εργάσιμες ημέρες ανάλογα με την τράπεζά σας.","Χρόνος Επιστροφής Χρημάτων | Πολιτική Επιστροφών | Πρόβλημα με Χρέωση","1",""
"D03","direct","Η αποστολή είναι δωρεάν;","Η αποστολή είναι δωρεάν για παραγγελίες άνω των 39€. Για παραγγελίες κάτω από 39€, το κόστος αποστολής είναι 3,50€ για τυπική παράδοση και 6€ για express. Για αποστολές εκτός Ελλάδας, υπάρχουν διαφορετικές χρεώσεις που θα εμφανιστούν κατά την ολοκλήρωση της αγοράς σας.","Κόστος Αποστολής | Διαθεσιμότητα Προϊόντων | Πρόγραμμα Πιστότητας ShopEasy Rewards","1",""
"D04","direct","Πόσες μέρες παίρνει η παράδοση;","Η παράδοση εξαρτάται από την τοποθεσία σας. Για την Ελλάδα, η τυπική παράδοση γίνεται εντός 3-5 εργάσιμων ημερών, ενώ για την Κύπρο και την Ευρώπη, η παράδοση γίνεται εντός 7-14 εργάσιμων ημερών. Επίσης, υπάρχει η επιλογή express παράδοσης για την Ελλάδα, η οποία γίνεται εντός 1-2 εργάσιμων ημερών.","Χρόνοι Παράδοσης | Χρόνος Επιστροφής Χρημάτων | Πολιτική Επιστροφών","1",""
"D05","direct","Πώς μπορώ να παρακολουθήσω την παραγγελία μου;","Για να παρακολουθήσετε την παραγγελία σας, μπορείτε να χρησιμοποιήσετε τον αριθμό παρακολούθησης (tracking number) που σας έχει σταλεί μέσω email μετά την αποστολή της παραγγελίας σας. Μπορείτε να παρακολουθήσετε την παράδοση μέσω του συνδέσμου στο email ή από την ενότητα «Οι Παραγγελίες μου» στον λογαριασμό σας.","Παρακολούθηση Παραγγελίας | Κουπόνια και Κωδικοί Έκπτωσης | Αξιολογήσεις και Κριτικές","1",""
"D06","direct","Ποιες μεθόδους πληρωμής δέχεστε;","Δέχεται πιστωτικές/χρεωστικές κάρτες Visa, Mastercard και American Express, PayPal, Google Pay, Apple Pay, και αντικαταβολή (μόνο για Ελλάδα, με επιπλέον χρέωση 2€). Δεν δεχόμαστε προπληρωμένες κάρτες ή τραπεζικές μεταφορές για λιανικές αγορές.","Αποδεκτές Μέθοδοι Πληρωμής | Χρόνος Επιστροφής Χρημάτων | Ασφάλεια Πληρωμών","1",""
"D07","direct","Πώς δημιουργώ λογαριασμό;","Για να δημιουργήσετε λογαριασμό στο ShopEasy, ακολουθήστε τα παρακάτω βήματα:

1. Κάντε κλικ στο «Εγγραφή» στην πάνω δεξιά γωνία της σελίδας.
2. Συμπληρώστε το email σας και έναν κωδικό πρόσβασης.
3. Θα λάβετε email επαλήθευσης. Κάντε κλικ στον σύνδεσμο που περιέχεται στο email για να ενεργοποιηθεί ο λογαριασμός σας.

Η εγγραφή στο ShopEasy είναι δωρεάν.","Δημιουργία Λογαριασμού | Αποδεκτές Μέθοδοι Πληρωμής | Αποστολή σε Διαφορετική Διεύθυνση","1",""
"D08","direct","Ξέχασα τον κωδικό μου, τι κάνω;","Για να επαναφέρεις τον κωδικό σου, μπορείς να κάνεις τα ακόλουθα βήματα:

1. Πήγαινε στη σελίδα σύνδεσης.
2. Κάνε κλικ στο «Ξέχασα τον κωδικό μου».
3. Εισάγετε το email σου.
4. Θα λάβεις email με σύνδεσμο επαναφοράς κωδικού, ο οποίος ισχύει για 2 ώρες.

Εάν δεν λάβεις το email εντός 5 λεπτών, ελέγξτε τον φάκελο spam.","Ξεχασμένος Κωδικός | Δημιουργία Λογαριασμού | Αλλαγή Στοιχείων Λογαριασμού","1",""
"D09","direct","Τι γίνεται αν παραλάβω ελαττωματικό προϊόν;","Αν παραλάβετε ελαττωματικό ή κατεστραμμένο προϊόν, επικοινωνήστε μαζί μας εντός 48 ωρών από την παραλαβή. Δεν χρειάζεται να επιστρέψετε το προϊόν — θα σας στείλουμε άμεσα αντικατάσταση ή θα επιστρέψουμε το πλήρες ποσό χωρίς χρέωση αποστολής.","Επιστροφή Ελαττωματικού Προϊόντος | Ανταλλαγή Προϊόντος | Διαθεσιμότητα Προϊόντων","1",""
"D10","direct","Πώς λειτουργεί το πρόγραμμα πιστότητας;","Θα σε συνδέσω με έναν εκπρόσωπο υποστήριξης. Επικοινώνησε μαζί μας στο support@shopeasy.com","Διαθεσιμότητα Προϊόντων | Αξιολογήσεις και Κριτικές | Χρόνος Επιστροφής Χρημάτων","0","Αποτυχία: ανακατεύθυνση στο support αντί απάντησης για πρόγραμμα πιστότητας"
"P01","paraphrased","Μπορώ να στείλω πίσω κάτι που αγόρασα;","Για να επιστρέψετε μια αγορά, μπορείτε να το κάνετε εντός 30 ημερών από την παραλαβή του προιόντος, εφόσον το προϊόν βρίσκεται στην αρχική του κατάσταση και με την αρχική συσκευασία και δεν έχει ανοιχτεί.

Για να ξεκινήσετε την επιστροφή:
1.  Συνδεθείτε στο λογαριασμό σας.
2.  Μεταβείτε στις ""Παραγγελίες μου"".
3.  Επιλέξτε «Επιστροφή» για το συγκεκριμένο προϊόν.

Θα λάβετε μια ετικέτα αποστολής μέσω email εντός 24 ωρών.","Πολιτική Επιστροφών | Ανταλλαγή Προϊόντος | Επιστροφή Ελαττωματικού Προϊόντος","1",""
"P02","paraphrased","Σε πόσες μέρες επιστρέφονται τα χρήματα στην κάρτα μου;","Μετά την παραλαβή και τον έλεγχο του επιστρεφόμενου προϊόντος, η επιστροφή χρημάτων ολοκληρώνεται εντός 5–7 εργάσιμων ημερών στη μέθοδο πληρωμής που χρησιμοποιήσατε. Για πληρωμές με κάρτα, ο χρόνος μπορεί να φτάνει τις 10 εργάσιμες ημέρες ανάλογα με την τράπεζά σας.","Χρόνος Επιστροφής Χρημάτων | Πολιτική Επιστροφών | Πρόβλημα με Χρέωση","1",""
"P03","paraphrased","Υπάρχει δωρεάν μεταφορικά;","Ναι, η αποστολή είναι δωρεάν για παραγγελίες άνω των 39€. Για παραγγελίες κάτω από 39€, το κόστος αποστολής είναι 3,50€ για τυπική παράδοση και 6€ για express.","Κόστος Αποστολής | Δημιουργία Λογαριασμού | Αποδεκτές Μέθοδοι Πληρωμής","1",""
"P04","paraphrased","Πότε αναμένω να παραλάβω την παραγγελία μου;","Για να λάβεις πληροφορίες σχετικά με την παράδοση της παραγγελίας σου, μπορείς να παρακολουθήσεις την κατάσταση της παραγγελίας μέσω του αριθμού παρακολούθησης (tracking number) που λάβες μέσω email. Μπορείς επίσης να ελέγξεις την ενότητα ""Οι Παραγγελίες μου"" στον λογαριασμό σου για να δεις την τρέχουσα κατάσταση της παραγγελίας.","Πρόβλημα με Χρέωση | Πολιτική Επιστροφών | Παρακολούθηση Παραγγελίας","0","Αποτυχία: απάντησε για tracking αντί για χρόνους παράδοσης — λάθος έγγραφα RAG"
